GEOID,NAME,estimate_2011-2015,estimate_2016-2020,moe_2011-2015,moe_2016-2020,change,se_1,se_2,se_diff,moe_diff,z,significant,geometry
06075010300,"Census Tract 103, San Francisco County, California",141024,188371,41686,22589,47347,25341.033434650457,13731.91489361702,28822.44719279772,47412.925632152255,1.6427126983107554,FALSE,"list(list(c(-122.418718, -122.416888, -122.414877, -122.412908, -122.412849, -122.412471, -122.412283, -122.417218, -122.417385, -122.417587, -122.417799, -122.418281, -122.418718, 37.805932, 37.805212, 37.803542, 37.802184, 37.801893, 37.800032, 37.799096, 37.798472, 37.799414, 37.800341, 37.801267, 37.804023, 37.805932)))"
06075010500,"Census Tract 105, San Francisco County, California",151799,189742,27298,25538,37943,16594.52887537994,15524.620060790274,22724.26493041547,37381.41581053345,1.6697129749272943,TRUE,"list(list(c(-122.405174, -122.403495, -122.401787, -122.399638840473, -122.398139, -122.394407919349, -122.389708268207, -122.391487, -122.393181, -122.394748, -122.396315, -122.396586, -122.400149, -122.400681, -122.402041, -122.402421, -122.40279, -122.40316, -122.404798, -122.405174, 37.804763, 37.805089, 37.805314, 37.8065658502084, 37.80563, 37.8012904644048, 37.7958244063587, 37.793859, 37.79323, 37.79448, 37.793337, 37.794588, 37.794134, 37.796777, 37.797505, 37.799382, 37.801242, 37.803098, 
37.802901, 37.804763)))"
06075010600,"Census Tract 106, San Francisco County, California",72294,98899,12457,15512,26605,7572.644376899696,9429.787234042553,12094.041100405706,19894.697610167386,2.1998436898901814,TRUE,"list(list(c(-122.411019, -122.40777, -122.406199, -122.406024, -122.405645, -122.402421, -122.402041, -122.405513, -122.406668, -122.407083, -122.407869, -122.409014, -122.411376, -122.411019, 37.80117, 37.801571, 37.80172, 37.800835, 37.798969, 37.799382, 37.797505, 37.797065, 37.797865, 37.798152, 37.798697, 37.79949, 37.801125, 37.80117)))"
06075010800,"Census Tract 108, San Francisco County, California",109480,182109,14718,33752,72629,8947.112462006078,20517.933130699086,22383.842417324682,36821.4207764991,3.244706545279576,TRUE,"list(list(c(-122.417218, -122.412283, -122.411911, -122.411719, -122.411364, -122.415218, -122.416292, -122.416473, -122.416653, -122.416839, -122.417218, 37.798472, 37.799096, 37.797245, 37.796291, 37.794527, 37.794029, 37.793892, 37.794777, 37.79567, 37.796596, 37.798472)))"
06075011200,"Census Tract 112, San Francisco County, California",186509,192950,86141,23854,6441,52365.349544072946,14500.911854103344,54336.04952030848,89382.80146090745,0.11854008631217533,FALSE,"list(list(c(-122.416292, -122.415218, -122.411364, -122.409722, -122.409541, -122.409171, -122.412461, -122.41575, -122.415936, -122.416113, -122.416292, 37.793892, 37.794029, 37.794527, 37.794737, 37.793852, 37.792043, 37.791627, 37.791206, 37.792133, 37.793014, 37.793892)))"
06075011300,"Census Tract 113, San Francisco County, California",69536,77411,16060,13434,7875,9762.917933130699,8166.565349544073,12728.211036018332,20937.90715425016,0.6187043864778247,FALSE,"list(list(c(-122.411719, -122.408431, -122.408253, -122.407903, -122.407536, -122.409171, -122.409541, -122.409722, -122.411364, -122.411719, 37.796291, 37.796704, 37.795824, 37.79406, 37.792249, 37.792043, 37.793852, 37.794737, 37.794527, 37.796291)))"
06075011700,"Census Tract 117, San Francisco County, California",83411,120028,22792,25347,36617,13855.31914893617,15408.510638297872,20721.77764597951,34087.324227636294,1.7670781255151882,TRUE,"list(list(c(-122.408786, -122.407149, -122.40734, -122.407536, -122.404418, -122.404613, -122.400149, -122.396586, -122.396315, -122.399195, -122.406062, -122.407451, -122.407853, -122.408227, -122.408402, -122.408786, 37.79016, 37.790366, 37.791296, 37.792249, 37.792639, 37.793565, 37.794134, 37.794588, 37.793337, 37.791058, 37.785757, 37.784604, 37.785492, 37.787359, 37.788293, 37.79016)))"
06075011800,"Census Tract 118, San Francisco County, California",44668,62937,11017,11313,18269,6697.26443768997,6877.203647416413,9599.44170024405,15791.081596901462,1.9031315122769632,TRUE,"list(list(c(-122.407903, -122.404796, -122.404613, -122.404418, -122.407536, -122.407903, 37.79406, 37.794453, 37.793565, 37.792639, 37.792249, 37.79406)))"
06075011901,"Census Tract 119.01, San Francisco County, California",98242,152158,12555,32982,53916,7632.218844984803,20049.84802431611,21453.372002925644,35290.79694481268,2.5131713556566937,TRUE,"list(list(c(-122.41575, -122.412461, -122.412266, -122.412076, -122.415372, -122.415559, -122.41575, 37.791206, 37.791627, 37.790673, 37.78974, 37.78932, 37.790254, 37.791206)))"
06075011902,"Census Tract 119.02, San Francisco County, California",83683,106352,11747,17713,22669,7141.033434650456,10767.781155015198,12920.505776365573,21254.232002121367,1.754497880529302,TRUE,"list(list(c(-122.412461, -122.409171, -122.407536, -122.40734, -122.407149, -122.408786, -122.412076, -122.412266, -122.412461, 37.791627, 37.792043, 37.792249, 37.791296, 37.790366, 37.79016, 37.78974, 37.790673, 37.791627)))"
